"filename", "language", "Python", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\misc.xml", "XML", 0, 0, 7, 0, 0, 0, 7
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\weatherapp.iml", "XML", 0, 0, 8, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\app.py", "Python", 31, 0, 0, 0, 0, 16, 47
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\static\style.css", "CSS", 0, 63, 0, 0, 0, 11, 74
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\bulma.css", "CSS", 0, 9247, 0, 0, 2, 1470, 10719
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\styles.css", "CSS", 0, 9247, 0, 0, 2, 1470, 10719
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\weather.html", "HTML", 0, 0, 0, 73, 0, 6, 79
"Total", "-", 31, 18557, 35, 73, 4, 2973, 21673